,prev,curr,type,n
12076000,2022_in_ukraine,2022_russian_invasion_of_ukraine,link,165.0
12079506,fb_msbs_grot,2022_russian_invasion_of_ukraine,link,165.0
12075974,2s7_pion,2022_russian_invasion_of_ukraine,link,165.0
12077932,2022–23_uefa_champions_league,2022_russian_invasion_of_ukraine,link,164.0
12075252,oleksandr_usyk,2022_russian_invasion_of_ukraine,link,164.0
12074928,black_sea_grain_initiative,2022_russian_invasion_of_ukraine,link,163.0
12078796,m14_rifle,2022_russian_invasion_of_ukraine,link,162.0
12075698,russian_irredentism,2022_russian_invasion_of_ukraine,link,161.0
12079624,vkusno_i_tochka,2022_russian_invasion_of_ukraine,link,161.0
12074950,list_of_russian_generals_killed_during_the_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,161.0
12079348,"russian_warship,_go_fuck_yourself",2022_russian_invasion_of_ukraine,link,161.0
12077974,russian_oligarchs,2022_russian_invasion_of_ukraine,link,161.0
12078056,tupolev_tu-22m,2022_russian_invasion_of_ukraine,link,160.0
12075208,chernobyl,2022_russian_invasion_of_ukraine,link,158.0
12078446,battle_of_melitopol,2022_russian_invasion_of_ukraine,link,158.0
12075030,khvicha_kvaratskhelia,2022_russian_invasion_of_ukraine,link,156.0
12078092,vitali_klitschko,2022_russian_invasion_of_ukraine,link,156.0
12075776,beretta_m9,2022_russian_invasion_of_ukraine,link,156.0
12077672,bundeswehr,2022_russian_invasion_of_ukraine,link,156.0
12076548,mosin–nagant,2022_russian_invasion_of_ukraine,link,155.0
12078656,frozen_conflict,2022_russian_invasion_of_ukraine,link,155.0
12077946,ukrainian_navy,2022_russian_invasion_of_ukraine,link,154.0
12077912,list_of_countries_and_dependencies_by_population,2022_russian_invasion_of_ukraine,link,154.0
12075238,russian_grand_prix,2022_russian_invasion_of_ukraine,link,153.0
12075402,akm,2022_russian_invasion_of_ukraine,link,152.0
12075850,miguel_díaz-canel,2022_russian_invasion_of_ukraine,link,152.0
12075096,zaporizhzhia_nuclear_power_plant,2022_russian_invasion_of_ukraine,link,150.0
12075830,accuracy_international_awm,2022_russian_invasion_of_ukraine,link,150.0
12077326,georgia_(country),2022_russian_invasion_of_ukraine,link,150.0
12079164,unfriendly_countries_list,2022_russian_invasion_of_ukraine,link,149.0
12076734,cougar_(mrap),2022_russian_invasion_of_ukraine,link,148.0
12077972,luhansk,2022_russian_invasion_of_ukraine,link,148.0
12077558,ground_launched_small_diameter_bomb,2022_russian_invasion_of_ukraine,link,147.0
12076308,assassination_attempts_on_volodymyr_zelenskyy,2022_russian_invasion_of_ukraine,link,147.0
12076252,nlaw,2022_russian_invasion_of_ukraine,link,147.0
12075832,marjorie_taylor_greene,2022_russian_invasion_of_ukraine,link,146.0
12079484,mohammed_bin_salman,2022_russian_invasion_of_ukraine,link,145.0
12078952,sanna_marin,2022_russian_invasion_of_ukraine,link,144.0
12076166,russian_invasion,2022_russian_invasion_of_ukraine,link,143.0
12078630,94th_academy_awards,2022_russian_invasion_of_ukraine,link,143.0
12078598,chernobyl_exclusion_zone,2022_russian_invasion_of_ukraine,link,143.0
12078360,nuclear_warfare,2022_russian_invasion_of_ukraine,link,142.0
12077774,colt_canada_c7,2022_russian_invasion_of_ukraine,link,142.0
12074658,ukrainian_air_assault_forces,2022_russian_invasion_of_ukraine,link,142.0
12076378,eurovision_song_contest_2022,2022_russian_invasion_of_ukraine,link,141.0
12078568,battle_of_irpin,2022_russian_invasion_of_ukraine,link,141.0
12078512,siege_of_chernihiv,2022_russian_invasion_of_ukraine,link,141.0
12075074,battle_of_mykolaiv,2022_russian_invasion_of_ukraine,link,140.0
12075034,aerovironment_switchblade,2022_russian_invasion_of_ukraine,link,139.0
12075170,gennady_zyuganov,2022_russian_invasion_of_ukraine,link,139.0
12076904,dmitry_medvedev,2022_russian_invasion_of_ukraine,link,138.0
12075736,babi_yar,2022_russian_invasion_of_ukraine,link,137.0
12077336,ed_sheeran,2022_russian_invasion_of_ukraine,link,137.0
12075754,amx-10_rc,2022_russian_invasion_of_ukraine,link,136.0
12078218,vickers_machine_gun,2022_russian_invasion_of_ukraine,link,136.0
12078994,tor_missile_system,2022_russian_invasion_of_ukraine,link,136.0
12075946,alexey_pajitnov,2022_russian_invasion_of_ukraine,link,135.0
12076362,ci_financial,2022_russian_invasion_of_ukraine,other,135.0
12078968,nato–russia_relations,2022_russian_invasion_of_ukraine,link,135.0
12077026,baikonur_cosmodrome,2022_russian_invasion_of_ukraine,link,134.0
12075758,russian_premier_league,2022_russian_invasion_of_ukraine,link,134.0
12078932,dnieper,2022_russian_invasion_of_ukraine,link,133.0
12078260,foreign_relations_of_russia,2022_russian_invasion_of_ukraine,link,133.0
12075216,hesa_shahed_136,2022_russian_invasion_of_ukraine,link,133.0
12075138,list_of_interstate_wars_since_1945,2022_russian_invasion_of_ukraine,link,132.0
